batch	batch_id	cond
scell.nextera.NXT_235	3	1527	2i_all
scell.nextera.NXT_236	3	1527	2i_all
scell.nextera.NXT_237	3	1527	2i_all
scell.nextera.NXT_238	3	1527	2i_all
scell.nextera.NXT_242	3	1527	2i_all
scell.nextera.NXT_243	3	1527	2i_all
scell.nextera.NXT_244	3	1527	2i_all
scell.nextera.NXT_245	3	1527	2i_all
scell.nextera.NXT_246	3	1527	2i_all
scell.nextera.NXT_247	3	1527	2i_all
scell.nextera.NXT_248	3	1527	2i_all
scell.nextera.NXT_252	3	1527	2i_all
scell.nextera.NXT_253	3	1527	2i_all
scell.nextera.NXT_254	3	1527	2i_all
scell.nextera.NXT_255	3	1527	2i_all
scell.nextera.NXT_256	3	1527	2i_all
scell.nextera.NXT_257	3	1527	2i_all
scell.nextera.NXT_258	3	1527	2i_all
scell.nextera.NXT_282	4	1632	2i_all
scell.nextera.NXT_283	4	1632	2i_all
scell.nextera.NXT_284	4	1632	2i_all
scell.nextera.NXT_285	4	1632	2i_all
scell.nextera.NXT_286	4	1632	2i_all
scell.nextera.NXT_287	4	1632	2i_all
scell.nextera.NXT_288	4	1632	2i_all
scell.nextera.NXT_295	5	1654	2i_all
scell.nextera.NXT_296	5	1654	2i_all
scell.nextera.NXT_297	5	1654	2i_all
scell.nextera.NXT_298	5	1654	2i_all
scell.nextera.NXT_301	6	1749	2i_all
scell.nextera.NXT_302	6	1749	2i_all
scell.nextera.NXT_303	6	1749	2i_all
scell.nextera.NXT_304	6	1749	2i_all
scell.nextera.NXT_306	6	1749	2i_all
scell.nextera.NXT_307	6	1749	2i_all
scell.nextera.NXT_308	6	1749	2i_all
scell.nextera.NXT_311	6	1749	2i_all
scell.nextera.NXT_312	6	1749	2i_all
scell.nextera.NXT_313	6	1749	2i_all
scell.nextera.NXT_314	6	1749	2i_all
scell.nextera.NXT_315	6	1749	2i_all
scell.nextera.NXT_317	6	1749	2i_all
scell.nextera.NXT_318	6	1749	2i_all
scell.nextera.NXT_321	6	1749	2i_all
scell.nextera.NXT_322	6	1749	2i_all
scell.nextera.NXT_323	6	1749	2i_all
scell.nextera.NXT_324	6	1749	2i_all
scell.nextera.NXT_325	6	1749	2i_all
scell.nextera.NXT_326	6	1749	2i_all
scell.nextera.NXT_327	6	1749	2i_all
scell.nextera.NXT_328	6	1749	2i_all
scell.nextera.NXT_331	6	1749	2i_all
scell.nextera.NXT_332	6	1749	2i_all
scell.nextera.NXT_333	6	1749	2i_all
scell.nextera.NXT_334	6	1749	2i_all
scell.nextera.NXT_335	6	1749	2i_all
scell.nextera.NXT_336	6	1749	2i_all
scell.nextera.NXT_337	6	1749	2i_all
scell.nextera.NXT_338	6	1749	2i_all
scell.nextera.NXT_341	6	1749	2i_all
scell.nextera.NXT_342	6	1749	2i_all
scell.nextera.NXT_343	6	1749	2i_all
scell.nextera.NXT_344	6	1749	2i_all
scell.nextera.NXT_345	6	1749	2i_all
scell.nextera.NXT_346	6	1749	2i_all
scell.nextera.NXT_347	6	1749	2i_all
scell.nextera.NXT_348	6	1749	2i_all
scell.nextera.NXT_351	6	1749	2i_all
scell.nextera.NXT_352	6	1749	2i_all
scell.nextera.NXT_353	6	1749	2i_all
scell.nextera.NXT_354	6	1749	2i_all
scell.nextera.NXT_355	6	1749	2i_all
scell.nextera.NXT_356	6	1749	2i_all
scell.nextera.NXT_357	6	1749	2i_all
scell.nextera.NXT_358	6	1749	2i_all
scell.nextera.NXT_361	6	1749	2i_all
scell.nextera.NXT_362	6	1749	2i_all
scell.nextera.NXT_363	6	1749	2i_all
scell.nextera.NXT_364	6	1749	2i_all
scell.nextera.NXT_365	6	1749	2i_all
scell.nextera.NXT_366	6	1749	2i_all
scell.nextera.NXT_367	6	1749	2i_all
scell.nextera.NXT_368	6	1749	2i_all
scell.nextera.NXT_371	6	1749	2i_all
scell.nextera.NXT_372	6	1749	2i_all
scell.nextera.NXT_373	6	1749	2i_all
scell.nextera.NXT_374	6	1749	2i_all
scell.nextera.NXT_375	6	1749	2i_all
scell.nextera.NXT_376	6	1749	2i_all
scell.nextera.NXT_378	6	1749	2i_all
scell.nextera.NXT_381	6	1749	2i_all
scell.nextera.NXT_382	6	1749	2i_all
scell.nextera.NXT_383	6	1749	2i_all
scell.nextera.NXT_384	6	1749	2i_all
scell.nextera.NXT_385	6	1749	2i_all
scell.nextera.NXT_386	6	1749	2i_all
scell.nextera.NXT_387	6	1749	2i_all
scell.nextera.NXT_388	6	1749	2i_all
scell.nextera.NXT_391	6	1749	2i_all
scell.nextera.NXT_392	6	1749	2i_all
scell.nextera.NXT_393	6	1749	2i_all
scell.nextera.NXT_394	6	1749	2i_all
scell.nextera.NXT_395	6	1749	2i_all
scell.nextera.NXT_396	6	1749	2i_all
scell.nextera.NXT_397	6	1749	2i_all
scell.nextera.NXT_398	6	1749	2i_all
scell.nextera.NXT_401	6	1749	2i_all
scell.nextera.NXT_402	6	1749	2i_all
scell.nextera.NXT_403	6	1749	2i_all
scell.nextera.NXT_404	6	1749	2i_all
scell.nextera.NXT_405	6	1749	2i_all
scell.nextera.NXT_406	6	1749	2i_all
scell.nextera.NXT_407	6	1749	2i_all
scell.nextera.NXT_408	6	1749	2i_all
scell.nextera.NXT_411	6	1749	2i_all
scell.nextera.NXT_412	6	1749	2i_all
scell.nextera.NXT_413	6	1749	2i_all
scell.nextera.NXT_414	6	1749	2i_all
scell.nextera.NXT_415	6	1749	2i_all
scell.nextera.NXT_417	6	1749	2i_all
scell.nextera.NXT_418	6	1749	2i_all
scell.nextera.NXT_2011	7	2434	2i_all
scell.nextera.NXT_2012	7	2434	2i_all
scell.nextera.NXT_2013	7	2434	2i_all
scell.nextera.NXT_2014	7	2434	2i_all
scell.nextera.NXT_2015	7	2434	2i_all
scell.nextera.NXT_2016	7	2434	2i_all
scell.nextera.NXT_2017	7	2434	2i_all
scell.nextera.NXT_2018	7	2434	2i_all
scell.nextera.NXT_2021	7	2434	2i_all
scell.nextera.NXT_2022	7	2434	2i_all
scell.nextera.NXT_2023	7	2434	2i_all
scell.nextera.NXT_2024	7	2434	2i_all
scell.nextera.NXT_2025	7	2434	2i_all
scell.nextera.NXT_2026	7	2434	2i_all
scell.nextera.NXT_2027	7	2434	2i_all
scell.nextera.NXT_2028	7	2434	2i_all
scell.nextera.NXT_2031	7	2434	2i_all
scell.nextera.NXT_2032	7	2434	2i_all
scell.nextera.NXT_2033	7	2434	2i_all
scell.nextera.NXT_2034	7	2434	2i_all
scell.nextera.NXT_2035	7	2434	2i_all
scell.nextera.NXT_2036	7	2434	2i_all
scell.nextera.NXT_2037	7	2434	2i_all
scell.nextera.NXT_2038	7	2434	2i_all
scell.nextera.NXT_2041	7	2434	2i_all
scell.nextera.NXT_2042	7	2434	2i_all
scell.nextera.NXT_2043	7	2434	2i_all
scell.nextera.NXT_2044	7	2434	2i_all
scell.nextera.NXT_2045	7	2434	2i_all
scell.nextera.NXT_2046	7	2434	2i_all
scell.nextera.NXT_2047	7	2434	2i_all
scell.nextera.NXT_2048	7	2434	2i_all
scell.nextera.NXT_2051	7	2434	2i_all
scell.nextera.NXT_2052	7	2434	2i_all
scell.nextera.NXT_2053	7	2434	2i_all
scell.nextera.NXT_2054	7	2434	2i_all
scell.nextera.NXT_2055	7	2434	2i_all
scell.nextera.NXT_2056	7	2434	2i_all
scell.nextera.NXT_2057	7	2434	2i_all
scell.nextera.NXT_2058	7	2434	2i_all
scell.nextera.NXT_2061	7	2434	2i_all
scell.nextera.NXT_2062	7	2434	2i_all
scell.nextera.NXT_2063	7	2434	2i_all
scell.nextera.NXT_2064	7	2434	2i_all
scell.nextera.NXT_2065	7	2434	2i_all
scell.nextera.NXT_2066	7	2434	2i_all
scell.nextera.NXT_2067	7	2434	2i_all
scell.nextera.NXT_2068	7	2434	2i_all
scell.nextera.NXT_2071	7	2434	2i_all
scell.nextera.NXT_2072	7	2434	2i_all
scell.nextera.NXT_2073	7	2434	2i_all
scell.nextera.NXT_2074	7	2434	2i_all
scell.nextera.NXT_2075	7	2434	2i_all
scell.nextera.NXT_2076	7	2434	2i_all
scell.nextera.NXT_2077	7	2434	2i_all
scell.nextera.NXT_2078	7	2434	2i_all
scell.nextera.NXT_2081	7	2434	2i_all
scell.nextera.NXT_2082	7	2434	2i_all
scell.nextera.NXT_2083	7	2434	2i_all
scell.nextera.NXT_2084	7	2434	2i_all
scell.nextera.NXT_2085	7	2434	2i_all
scell.nextera.NXT_2086	7	2434	2i_all
scell.nextera.NXT_2087	7	2434	2i_all
scell.nextera.NXT_2088	7	2434	2i_all
scell.nextera.NXT_2091	7	2434	2i_all
scell.nextera.NXT_2092	7	2434	2i_all
scell.nextera.NXT_2093	7	2434	2i_all
scell.nextera.NXT_2094	7	2434	2i_all
scell.nextera.NXT_2095	7	2434	2i_all
scell.nextera.NXT_2096	7	2434	2i_all
scell.nextera.NXT_2097	7	2434	2i_all
scell.nextera.NXT_2098	7	2434	2i_all
scell.nextera.NXT_2101	7	2434	2i_all
scell.nextera.NXT_2102	7	2434	2i_all
scell.nextera.NXT_2103	7	2434	2i_all
scell.nextera.NXT_2104	7	2434	2i_all
scell.nextera.NXT_2105	7	2434	2i_all
scell.nextera.NXT_2106	7	2434	2i_all
scell.nextera.NXT_2107	7	2434	2i_all
scell.nextera.NXT_2108	7	2434	2i_all
scell.nextera.NXT_2111	7	2434	2i_all
scell.nextera.NXT_2112	7	2434	2i_all
scell.nextera.NXT_2113	7	2434	2i_all
scell.nextera.NXT_2114	7	2434	2i_all
scell.nextera.NXT_2115	7	2434	2i_all
scell.nextera.NXT_2116	7	2434	2i_all
scell.nextera.NXT_2117	7	2434	2i_all
scell.nextera.NXT_2118	7	2434	2i_all
scell.nextera.NXT_2121	7	2434	2i_all
scell.nextera.NXT_2122	7	2434	2i_all
scell.nextera.NXT_2123	7	2434	2i_all
scell.nextera.NXT_2124	7	2434	2i_all
scell.nextera.NXT_2125	7	2434	2i_all
scell.nextera.NXT_2126	7	2434	2i_all
scell.nextera.NXT_2127	7	2434	2i_all
scell.nextera.NXT_2128	7	2434	2i_all
scell.nextera.NXT_2131	7	2434	2i_all
scell.nextera.NXT_2132	7	2434	2i_all
scell.nextera.NXT_2133	7	2434	2i_all
scell.nextera.NXT_2134	7	2434	2i_all
scell.nextera.NXT_2135	7	2434	2i_all
scell.nextera.NXT_2136	7	2434	2i_all
scell.nextera.NXT_2137	7	2434	2i_all
scell.nextera.NXT_2138	7	2434	2i_all
scell.nextera.NXT_2141	7	2434	2i_all
scell.nextera.NXT_2142	7	2434	2i_all
scell.nextera.NXT_2143	7	2434	2i_all
scell.nextera.NXT_2144	7	2434	2i_all
scell.nextera.NXT_2145	7	2434	2i_all
scell.nextera.NXT_2146	7	2434	2i_all
scell.nextera.NXT_2147	7	2434	2i_all
scell.nextera.NXT_2148	7	2434	2i_all
scell.nextera.NXT_2151	7	2434	2i_all
scell.nextera.NXT_2152	7	2434	2i_all
scell.nextera.NXT_2153	7	2434	2i_all
scell.nextera.NXT_2154	7	2434	2i_all
scell.nextera.NXT_2155	7	2434	2i_all
scell.nextera.NXT_2156	7	2434	2i_all
scell.nextera.NXT_2157	7	2434	2i_all
scell.nextera.NXT_2158	7	2434	2i_all
scell.nextera.NXT_2161	7	2434	2i_all
scell.nextera.NXT_2162	7	2434	2i_all
scell.nextera.NXT_2163	7	2434	2i_all
scell.nextera.NXT_2164	7	2434	2i_all
scell.nextera.NXT_2165	7	2434	2i_all
scell.nextera.NXT_2166	7	2434	2i_all
scell.nextera.NXT_2167	7	2434	2i_all
scell.nextera.NXT_2168	7	2434	2i_all
scell.nextera.NXT_2171	7	2434	2i_all
scell.nextera.NXT_2172	7	2434	2i_all
scell.nextera.NXT_2173	7	2434	2i_all
scell.nextera.NXT_2174	7	2434	2i_all
scell.nextera.NXT_2175	7	2434	2i_all
scell.nextera.NXT_2176	7	2434	2i_all
scell.nextera.NXT_2177	7	2434	2i_all
scell.nextera.NXT_2178	7	2434	2i_all
scell.nextera.NXT_2181	7	2434	2i_all
scell.nextera.NXT_2182	7	2434	2i_all
scell.nextera.NXT_2183	7	2434	2i_all
scell.nextera.NXT_2184	7	2434	2i_all
scell.nextera.NXT_2185	7	2434	2i_all
scell.nextera.NXT_2186	7	2434	2i_all
scell.nextera.NXT_2187	7	2434	2i_all
scell.nextera.NXT_2188	7	2434	2i_all
scell.nextera.NXT_2191	7	2434	2i_all
scell.nextera.NXT_2192	7	2434	2i_all
scell.nextera.NXT_2193	7	2434	2i_all
scell.nextera.NXT_2194	7	2434	2i_all
scell.nextera.NXT_2195	7	2434	2i_all
scell.nextera.NXT_2196	7	2434	2i_all
scell.nextera.NXT_2197	7	2434	2i_all
scell.nextera.NXT_2198	7	2434	2i_all
scell.nextera.NXT_2201	7	2434	2i_all
scell.nextera.NXT_2202	7	2434	2i_all
scell.nextera.NXT_2203	7	2434	2i_all
scell.nextera.NXT_2204	7	2434	2i_all
scell.nextera.NXT_2205	7	2434	2i_all
scell.nextera.NXT_2206	7	2434	2i_all
scell.nextera.NXT_2207	7	2434	2i_all
scell.nextera.NXT_2208	7	2434	2i_all
scell.nextera.NXT_2211	7	2434	2i_all
scell.nextera.NXT_2212	7	2434	2i_all
scell.nextera.NXT_2213	7	2434	2i_all
scell.nextera.NXT_2214	7	2434	2i_all
scell.nextera.NXT_2215	7	2434	2i_all
scell.nextera.NXT_2216	7	2434	2i_all
scell.nextera.NXT_2217	7	2434	2i_all
scell.nextera.NXT_2218	7	2434	2i_all
scell.nextera.NXT_2221	7	2434	2i_all
scell.nextera.NXT_2222	7	2434	2i_all
scell.nextera.NXT_2223	7	2434	2i_all
scell.nextera.NXT_2224	7	2434	2i_all
scell.nextera.NXT_2225	7	2434	2i_all
scell.nextera.NXT_2226	7	2434	2i_all
scell.nextera.NXT_2227	7	2434	2i_all
scell.nextera.NXT_2228	7	2434	2i_all
scell.nextera.NXT_2231	7	2434	2i_all
scell.nextera.NXT_2232	7	2434	2i_all
scell.nextera.NXT_2233	7	2434	2i_all
scell.nextera.NXT_2234	7	2434	2i_all
scell.nextera.NXT_2235	7	2434	2i_all
scell.nextera.NXT_2236	7	2434	2i_all
scell.nextera.NXT_2237	7	2434	2i_all
scell.nextera.NXT_2238	7	2434	2i_all
scell.nextera.NXT_2241	7	2434	2i_all
scell.nextera.NXT_2242	7	2434	2i_all
scell.nextera.NXT_2243	7	2434	2i_all
scell.nextera.NXT_2244	7	2434	2i_all
scell.nextera.NXT_2245	7	2434	2i_all
scell.nextera.NXT_2246	7	2434	2i_all
scell.nextera.NXT_2247	7	2434	2i_all
scell.nextera.NXT_2248	7	2434	2i_all
scell.nextera.NXT_2251	8	2435	2i_all
scell.nextera.NXT_2252	8	2435	2i_all
scell.nextera.NXT_2253	8	2435	2i_all
scell.nextera.NXT_2254	8	2435	2i_all
scell.nextera.NXT_2255	8	2435	2i_all
scell.nextera.NXT_2256	8	2435	2i_all
scell.nextera.NXT_2257	8	2435	2i_all
scell.nextera.NXT_2258	8	2435	2i_all
scell.nextera.NXT_2261	8	2435	2i_all
scell.nextera.NXT_2262	8	2435	2i_all
scell.nextera.NXT_2263	8	2435	2i_all
scell.nextera.NXT_2264	8	2435	2i_all
scell.nextera.NXT_2265	8	2435	2i_all
scell.nextera.NXT_2266	8	2435	2i_all
scell.nextera.NXT_2267	8	2435	2i_all
scell.nextera.NXT_2268	8	2435	2i_all
scell.nextera.NXT_2271	8	2435	2i_all
scell.nextera.NXT_2272	8	2435	2i_all
scell.nextera.NXT_2273	8	2435	2i_all
scell.nextera.NXT_2274	8	2435	2i_all
scell.nextera.NXT_2275	8	2435	2i_all
scell.nextera.NXT_2276	8	2435	2i_all
scell.nextera.NXT_2277	8	2435	2i_all
scell.nextera.NXT_2278	8	2435	2i_all
scell.nextera.NXT_2281	8	2435	2i_all
scell.nextera.NXT_2282	8	2435	2i_all
scell.nextera.NXT_2283	8	2435	2i_all
scell.nextera.NXT_2284	8	2435	2i_all
scell.nextera.NXT_2285	8	2435	2i_all
scell.nextera.NXT_2286	8	2435	2i_all
scell.nextera.NXT_2287	8	2435	2i_all
scell.nextera.NXT_2288	8	2435	2i_all
scell.nextera.NXT_2291	8	2435	2i_all
scell.nextera.NXT_2292	8	2435	2i_all
scell.nextera.NXT_2293	8	2435	2i_all
scell.nextera.NXT_2294	8	2435	2i_all
scell.nextera.NXT_2295	8	2435	2i_all
scell.nextera.NXT_2296	8	2435	2i_all
scell.nextera.NXT_2297	8	2435	2i_all
scell.nextera.NXT_2298	8	2435	2i_all
scell.nextera.NXT_2301	8	2435	2i_all
scell.nextera.NXT_2302	8	2435	2i_all
scell.nextera.NXT_2303	8	2435	2i_all
scell.nextera.NXT_2304	8	2435	2i_all
scell.nextera.NXT_2305	8	2435	2i_all
scell.nextera.NXT_2306	8	2435	2i_all
scell.nextera.NXT_2307	8	2435	2i_all
scell.nextera.NXT_2308	8	2435	2i_all
scell.nextera.NXT_2311	8	2435	2i_all
scell.nextera.NXT_2312	8	2435	2i_all
scell.nextera.NXT_2313	8	2435	2i_all
scell.nextera.NXT_2314	8	2435	2i_all
scell.nextera.NXT_2315	8	2435	2i_all
scell.nextera.NXT_2316	8	2435	2i_all
scell.nextera.NXT_2317	8	2435	2i_all
scell.nextera.NXT_2318	8	2435	2i_all
scell.nextera.NXT_2321	8	2435	2i_all
scell.nextera.NXT_2322	8	2435	2i_all
scell.nextera.NXT_2323	8	2435	2i_all
scell.nextera.NXT_2324	8	2435	2i_all
scell.nextera.NXT_2325	8	2435	2i_all
scell.nextera.NXT_2326	8	2435	2i_all
scell.nextera.NXT_2327	8	2435	2i_all
scell.nextera.NXT_2328	8	2435	2i_all
scell.nextera.NXT_2331	8	2435	2i_all
scell.nextera.NXT_2332	8	2435	2i_all
scell.nextera.NXT_2333	8	2435	2i_all
scell.nextera.NXT_2334	8	2435	2i_all
scell.nextera.NXT_2335	8	2435	2i_all
scell.nextera.NXT_2336	8	2435	2i_all
scell.nextera.NXT_2337	8	2435	2i_all
scell.nextera.NXT_2338	8	2435	2i_all
scell.nextera.NXT_2341	8	2435	2i_all
scell.nextera.NXT_2342	8	2435	2i_all
scell.nextera.NXT_2343	8	2435	2i_all
scell.nextera.NXT_2344	8	2435	2i_all
scell.nextera.NXT_2345	8	2435	2i_all
scell.nextera.NXT_2346	8	2435	2i_all
scell.nextera.NXT_2347	8	2435	2i_all
scell.nextera.NXT_2348	8	2435	2i_all
scell.nextera.NXT_2351	8	2435	2i_all
scell.nextera.NXT_2352	8	2435	2i_all
scell.nextera.NXT_2353	8	2435	2i_all
scell.nextera.NXT_2354	8	2435	2i_all
scell.nextera.NXT_2355	8	2435	2i_all
scell.nextera.NXT_2356	8	2435	2i_all
scell.nextera.NXT_2357	8	2435	2i_all
scell.nextera.NXT_2358	8	2435	2i_all
scell.nextera.NXT_2361	8	2435	2i_all
scell.nextera.NXT_2362	8	2435	2i_all
scell.nextera.NXT_2363	8	2435	2i_all
scell.nextera.NXT_2364	8	2435	2i_all
scell.nextera.NXT_2365	8	2435	2i_all
scell.nextera.NXT_2366	8	2435	2i_all
scell.nextera.NXT_2367	8	2435	2i_all
scell.nextera.NXT_2368	8	2435	2i_all
scell.nextera.NXT_2371	8	2435	2i_all
scell.nextera.NXT_2372	8	2435	2i_all
scell.nextera.NXT_2373	8	2435	2i_all
scell.nextera.NXT_2374	8	2435	2i_all
scell.nextera.NXT_2375	8	2435	2i_all
scell.nextera.NXT_2376	8	2435	2i_all
scell.nextera.NXT_2377	8	2435	2i_all
scell.nextera.NXT_2378	8	2435	2i_all
scell.nextera.NXT_2381	8	2435	2i_all
scell.nextera.NXT_2382	8	2435	2i_all
scell.nextera.NXT_2383	8	2435	2i_all
scell.nextera.NXT_2384	8	2435	2i_all
scell.nextera.NXT_2385	8	2435	2i_all
scell.nextera.NXT_2386	8	2435	2i_all
scell.nextera.NXT_2387	8	2435	2i_all
scell.nextera.NXT_2388	8	2435	2i_all
scell.nextera.NXT_2391	8	2435	2i_all
scell.nextera.NXT_2392	8	2435	2i_all
scell.nextera.NXT_2393	8	2435	2i_all
scell.nextera.NXT_2394	8	2435	2i_all
scell.nextera.NXT_2395	8	2435	2i_all
scell.nextera.NXT_2396	8	2435	2i_all
scell.nextera.NXT_2397	8	2435	2i_all
scell.nextera.NXT_2398	8	2435	2i_all
scell.nextera.NXT_2401	8	2435	2i_all
scell.nextera.NXT_2402	8	2435	2i_all
scell.nextera.NXT_2403	8	2435	2i_all
scell.nextera.NXT_2404	8	2435	2i_all
scell.nextera.NXT_2405	8	2435	2i_all
scell.nextera.NXT_2406	8	2435	2i_all
scell.nextera.NXT_2407	8	2435	2i_all
scell.nextera.NXT_2408	8	2435	2i_all
scell.nextera.NXT_2411	8	2435	2i_all
scell.nextera.NXT_2412	8	2435	2i_all
scell.nextera.NXT_2413	8	2435	2i_all
scell.nextera.NXT_2414	8	2435	2i_all
scell.nextera.NXT_2415	8	2435	2i_all
scell.nextera.NXT_2416	8	2435	2i_all
scell.nextera.NXT_2417	8	2435	2i_all
scell.nextera.NXT_2418	8	2435	2i_all
scell.nextera.NXT_2421	8	2435	2i_all
scell.nextera.NXT_2422	8	2435	2i_all
scell.nextera.NXT_2423	8	2435	2i_all
scell.nextera.NXT_2424	8	2435	2i_all
scell.nextera.NXT_2425	8	2435	2i_all
scell.nextera.NXT_2426	8	2435	2i_all
